epoch,loss,acc_subspace0,acc_subspace1,acc_subspace2,lr,epoch_time_s,total_time_min
263,14.2656,4.69,21.48,20.31,0.003000,78.9,353.4
264,14.3469,6.64,20.70,19.14,0.003000,78.6,354.8
265,14.2779,7.03,21.09,12.89,0.003000,78.8,356.1
266,14.1908,8.59,29.30,12.89,0.003000,80.2,357.4
267,14.2072,9.38,23.83,17.19,0.003000,78.0,358.7
268,14.2486,9.38,24.22,12.89,0.003000,78.2,360.0
269,14.2390,7.81,23.05,15.23,0.003000,78.3,361.3
270,14.1896,9.38,25.39,19.14,0.003000,79.3,362.6
271,14.1655,8.98,18.36,12.50,0.003000,78.9,364.0
272,14.1778,11.72,26.17,11.33,0.003000,77.5,365.3
273,14.1965,7.42,20.31,19.92,0.003000,77.5,366.6
274,14.1950,10.94,21.09,18.36,0.003000,78.1,367.9
275,14.1627,7.42,21.48,13.28,0.003000,78.6,369.2
276,14.2185,3.91,23.44,14.84,0.003000,78.1,370.5
277,14.1410,8.98,26.17,18.75,0.003000,79.1,371.8
278,14.1986,7.81,29.69,12.89,0.003000,79.2,373.1
279,14.0798,8.98,26.17,17.19,0.003000,78.5,374.4
280,14.1192,5.47,29.30,16.02,0.003000,78.9,375.7
281,14.0019,8.20,28.12,12.89,0.003000,79.5,377.1
282,14.0674,8.59,28.91,14.06,0.003000,79.0,378.4
283,14.0673,6.64,25.78,16.80,0.003000,78.6,379.7
284,14.0674,7.81,27.34,20.70,0.003000,79.3,381.0
285,14.0475,5.08,22.27,13.28,0.003000,78.8,382.3
286,14.0494,10.94,24.22,17.58,0.003000,78.5,383.6
287,14.0066,7.81,27.73,20.70,0.003000,78.7,385.0
288,13.9822,7.81,23.83,13.67,0.003000,79.2,386.3
289,14.0390,6.64,21.48,16.80,0.003000,79.4,387.6
290,14.0160,7.03,27.73,17.58,0.003000,78.1,388.9
291,13.9665,7.81,29.69,19.14,0.003000,78.1,390.2
292,14.0119,10.16,26.56,17.19,0.003000,77.4,391.5
293,13.9941,10.55,24.61,18.36,0.003000,78.7,392.8
294,14.0093,7.03,22.66,15.23,0.003000,78.9,394.1
295,13.8548,7.03,20.31,17.97,0.003000,79.4,395.5
296,13.9544,7.81,24.22,15.23,0.003000,78.5,396.8
297,13.9107,8.20,26.17,14.84,0.003000,77.6,398.1
298,13.9386,10.55,26.56,17.97,0.003000,78.7,399.4
299,13.9151,6.25,23.83,18.36,0.003000,78.3,400.7
300,13.9487,9.38,28.12,20.31,0.003000,78.9,402.0
301,13.8842,8.59,25.39,17.58,0.003000,80.1,403.3
302,13.9731,7.03,25.00,19.14,0.003000,79.5,404.7
303,13.8904,8.59,20.70,16.41,0.003000,79.8,406.0
304,13.8326,8.20,25.39,14.06,0.003000,79.3,407.3
300,13.8611,8.20,26.95,16.02,0.003000,117.8,2.0
301,13.9816,8.98,23.05,18.36,0.003000,99.9,3.6
302,13.8760,10.16,25.78,25.39,0.003000,88.7,5.1
303,13.8855,8.59,27.34,18.75,0.003000,86.7,6.6
304,13.8523,7.42,29.30,19.14,0.003000,82.9,7.9
305,13.8077,7.03,30.47,19.92,0.003000,86.4,9.4
306,13.8798,8.20,28.91,15.62,0.003000,85.9,10.8
307,13.8706,9.38,26.17,21.48,0.003000,83.0,12.2
308,13.8589,7.81,24.22,20.31,0.003000,81.6,13.6
309,13.8162,8.20,24.22,18.36,0.003000,81.8,14.9
310,13.8404,8.98,18.36,19.92,0.003000,83.3,16.3
311,13.7664,5.86,19.53,16.80,0.003000,83.1,17.7
312,13.7859,6.25,27.34,14.06,0.003000,87.7,19.2
313,13.7659,10.94,32.03,15.23,0.003000,82.5,20.5
314,13.8926,7.03,28.52,14.45,0.003000,83.4,21.9
315,13.7619,8.59,22.66,21.09,0.003000,83.5,23.3
316,13.7144,8.98,24.61,16.80,0.003000,82.5,24.7
317,13.6975,4.30,25.00,21.48,0.003000,83.4,26.1
318,13.7037,8.59,25.78,16.80,0.003000,82.5,27.5
319,13.7313,11.33,28.12,18.75,0.003000,83.1,28.9
320,13.7242,6.64,22.66,13.67,0.003000,82.1,30.2
321,13.6912,8.98,26.56,18.75,0.003000,82.0,31.6
322,13.6599,9.77,28.12,19.92,0.003000,81.7,33.0
323,13.6954,8.20,24.61,21.48,0.003000,83.3,34.4
324,13.6092,9.38,30.86,14.45,0.003000,83.4,35.7
325,13.7398,7.81,26.17,17.97,0.003000,80.4,37.1
326,13.6778,8.59,21.48,20.70,0.003000,82.9,38.5
327,13.6452,10.55,28.52,17.19,0.003000,86.4,39.9
328,13.6210,8.98,26.56,22.27,0.003000,83.0,41.3
329,13.7124,10.94,29.30,14.84,0.003000,84.7,42.7
330,13.6594,8.20,30.08,21.88,0.003000,87.9,44.2
331,13.5910,8.20,23.83,17.97,0.003000,83.2,45.6
332,13.7019,8.98,30.47,16.80,0.003000,83.2,47.0
333,13.6691,6.25,23.83,19.14,0.003000,82.2,48.3
334,13.5559,7.81,30.47,18.75,0.003000,81.8,49.7
335,13.5885,6.25,27.73,16.80,0.003000,81.2,51.1
336,13.6300,7.81,28.52,19.92,0.003000,83.1,52.4
337,13.5996,9.38,25.00,14.84,0.003000,81.9,53.8
338,13.5577,10.16,29.30,16.41,0.003000,81.1,55.2
339,13.5903,8.98,26.17,19.92,0.003000,80.8,56.5
340,13.5149,7.81,32.03,19.53,0.003000,81.7,57.9
341,13.6147,10.94,28.52,16.41,0.003000,81.8,59.2
342,13.6001,8.59,30.08,17.58,0.003000,81.1,60.6
343,13.4894,7.81,28.12,16.02,0.003000,80.5,61.9
344,13.4617,12.11,26.56,17.97,0.003000,82.5,63.3
345,13.5192,9.77,28.52,24.22,0.003000,81.8,64.7
346,13.6157,9.77,31.64,15.23,0.003000,82.5,66.0
347,13.5303,8.20,28.12,16.02,0.003000,82.9,67.4
348,13.4268,8.20,32.42,19.53,0.003000,81.9,68.8
349,13.5505,9.38,29.69,16.02,0.003000,83.2,70.2
350,13.4893,7.42,29.30,20.70,0.000300,79.4,71.5
351,13.3927,11.72,25.00,16.02,0.000300,81.9,72.9
352,13.4618,8.20,30.86,15.23,0.000300,84.4,74.3
353,13.5049,13.28,34.38,16.02,0.000300,82.3,75.7
354,13.4912,8.98,29.30,17.58,0.000300,81.6,77.0
355,13.3474,9.38,23.44,19.53,0.000300,80.8,78.4
356,13.5156,10.16,30.08,23.44,0.000300,83.2,79.8
357,13.3956,8.59,24.22,21.48,0.000300,82.6,81.1
358,13.4415,12.50,24.22,17.97,0.000300,82.4,82.5
359,13.4682,8.20,23.83,14.84,0.000300,82.2,83.9
360,13.4296,9.77,29.69,15.62,0.000300,82.4,85.3
361,13.3335,9.38,30.47,17.58,0.000300,84.0,86.7
362,13.2703,10.94,30.47,16.80,0.000300,82.8,88.0
363,13.3441,8.20,33.98,20.31,0.000300,82.4,89.4
364,13.2985,8.59,29.69,22.66,0.000300,82.1,90.8
365,13.3705,10.55,35.94,18.75,0.000300,81.8,92.2
366,13.4227,8.20,27.73,17.97,0.000300,83.1,93.5
367,13.3144,12.50,33.98,17.97,0.000300,84.3,94.9
368,13.3961,8.20,28.52,17.97,0.000300,91.1,96.5
369,13.4486,9.77,32.81,19.14,0.000300,83.6,97.9
370,13.3853,6.64,33.59,21.09,0.000300,81.7,99.2
371,13.3452,10.16,31.25,22.27,0.000300,83.2,100.6
372,13.3292,8.20,28.52,22.27,0.000300,81.6,102.0
373,13.3721,8.20,29.69,17.19,0.000300,81.3,103.3
374,13.3473,11.33,26.17,17.97,0.000300,81.5,104.7
375,13.4015,11.33,32.03,21.09,0.000300,81.5,106.1
376,13.3186,5.47,32.42,19.92,0.000300,80.3,107.4
377,13.3462,7.03,32.03,16.41,0.000300,82.7,108.8
378,13.3384,10.55,31.64,22.66,0.000300,79.3,110.1
379,13.3990,7.81,30.08,17.19,0.000300,80.1,111.4
380,13.2995,7.81,33.98,19.53,0.000300,82.1,112.8
381,13.4272,6.64,27.73,18.36,0.000300,80.9,114.2
382,13.4274,12.11,28.12,18.75,0.000300,82.5,115.5
383,13.3226,8.59,29.69,16.02,0.000300,82.0,116.9
384,13.2701,8.98,29.30,13.67,0.000300,80.4,118.2
385,13.3505,7.81,30.47,19.53,0.000300,80.4,119.6
386,13.3794,7.42,32.81,17.97,0.000300,80.1,120.9
387,13.2481,9.77,32.42,22.27,0.000300,80.6,122.3
388,13.2782,8.59,33.59,20.70,0.000300,80.1,123.6
389,13.3232,5.08,26.56,21.09,0.000300,81.1,125.0
390,13.3866,10.16,33.20,21.48,0.000300,82.8,126.3
391,13.3744,6.64,26.56,22.27,0.000300,82.1,127.7
392,13.2486,8.98,32.81,24.22,0.000300,83.6,129.1
393,13.3680,9.77,29.69,17.58,0.000300,81.4,130.5
394,13.3687,11.33,25.00,22.66,0.000300,81.7,131.8
395,13.3401,11.33,34.77,19.14,0.000300,80.6,133.2
396,13.3048,7.42,23.05,23.44,0.000300,81.7,134.5
397,13.2861,10.55,34.38,19.53,0.000300,80.8,135.9
398,13.3872,10.16,27.34,15.23,0.000300,79.0,137.2
399,13.3973,8.20,27.34,20.70,0.000300,81.2,138.5
