epoch,loss,acc_subspace0,acc_subspace1,acc_subspace2,lr,epoch_time_s,total_time_min
292,0.8280,84.77,0.00,0.00,0.003000,203.9,1060.6
293,0.8110,82.03,0.00,0.00,0.003000,203.2,1064.0
294,0.8128,85.16,0.00,0.00,0.003000,203.7,1067.4
295,0.8064,85.94,0.00,0.00,0.003000,225.2,1071.1
296,0.8084,85.55,0.00,0.00,0.003000,242.0,1075.1
297,0.8129,83.20,0.00,0.00,0.003000,221.5,1078.8
298,0.8111,84.77,0.00,0.00,0.003000,200.4,1082.2
299,0.7948,85.94,0.00,0.00,0.003000,201.2,1085.5
300,0.7994,84.77,0.00,0.00,0.003000,201.3,1088.9
301,0.8022,80.86,0.00,0.00,0.003000,201.2,1092.3
302,0.8060,82.81,0.00,0.00,0.003000,202.9,1095.6
303,0.7903,85.94,0.00,0.00,0.003000,233.2,1099.5
304,0.7995,87.89,0.00,0.00,0.003000,239.2,1103.5
305,0.8032,84.38,0.00,0.00,0.003000,243.6,1107.6
306,0.7865,87.89,0.00,0.00,0.003000,231.3,1111.4
307,0.7986,87.50,0.00,0.00,0.003000,227.1,1115.2
308,0.7927,89.84,0.00,0.00,0.003000,202.3,1118.6
309,0.7861,87.50,0.00,0.00,0.003000,203.6,1122.0
310,0.7872,85.16,0.00,0.00,0.003000,201.1,1125.3
311,0.7991,86.72,0.00,0.00,0.003000,201.8,1128.7
312,0.7965,86.72,0.00,0.00,0.003000,202.2,1132.1
313,0.7849,85.94,0.00,0.00,0.003000,203.6,1135.5
314,0.7910,87.11,0.00,0.00,0.003000,202.7,1138.9
315,0.7857,88.28,0.00,0.00,0.003000,205.2,1142.3
316,0.7963,87.50,0.00,0.00,0.003000,202.4,1145.6
317,0.7962,87.50,0.00,0.00,0.003000,201.7,1149.0
318,0.8095,85.16,0.00,0.00,0.003000,202.0,1152.4
319,0.7782,86.72,0.00,0.00,0.003000,204.1,1155.8
320,0.7798,83.59,0.00,0.00,0.003000,206.4,1159.2
321,0.7833,87.50,0.00,0.00,0.003000,206.3,1162.7
322,0.7776,83.20,0.00,0.00,0.003000,206.3,1166.1
323,0.7707,88.28,0.00,0.00,0.003000,205.6,1169.5
324,0.7830,88.67,0.00,0.00,0.003000,201.7,1172.9
325,0.7879,90.23,0.00,0.00,0.003000,201.5,1176.3
326,0.7877,82.81,0.00,0.00,0.003000,202.1,1179.6
327,0.7884,83.59,0.00,0.00,0.003000,201.9,1183.0
328,0.7802,87.89,0.00,0.00,0.003000,201.6,1186.3
329,0.7710,82.81,0.00,0.00,0.003000,202.2,1189.7
330,0.7803,85.16,0.00,0.00,0.003000,201.3,1193.1
331,0.7812,89.84,0.00,0.00,0.003000,208.8,1196.6
332,0.7707,87.11,0.00,0.00,0.003000,237.8,1200.5
333,0.7740,83.20,0.00,0.00,0.003000,201.8,1203.9
334,0.7706,81.64,0.00,0.00,0.003000,202.1,1207.3
335,0.7659,91.80,0.00,0.00,0.003000,202.2,1210.6
336,0.7761,80.47,0.00,0.00,0.003000,201.4,1214.0
337,0.7648,89.06,0.00,0.00,0.003000,202.4,1217.4
338,0.7676,87.89,0.00,0.00,0.003000,200.4,1220.7
339,0.7720,87.11,0.00,0.00,0.003000,201.6,1224.1
340,0.7765,84.38,0.00,0.00,0.003000,203.3,1227.4
341,0.7811,85.94,0.00,0.00,0.003000,203.5,1230.8
342,0.7616,83.98,0.00,0.00,0.003000,200.9,1234.2
343,0.7685,84.38,0.00,0.00,0.003000,202.9,1237.6
344,0.7531,87.89,0.00,0.00,0.003000,202.5,1240.9
345,0.7666,88.67,0.00,0.00,0.003000,206.3,1244.4
346,0.7571,89.84,0.00,0.00,0.003000,202.6,1247.8
347,0.7688,81.25,0.00,0.00,0.003000,202.1,1251.1
348,0.7657,87.11,0.00,0.00,0.003000,202.3,1254.5
349,0.7564,88.67,0.00,0.00,0.003000,203.8,1257.9
350,0.7644,86.72,0.00,0.00,0.000300,214.5,1261.5
351,0.7449,88.67,0.00,0.00,0.000300,253.8,1265.7
352,0.7572,85.16,0.00,0.00,0.000300,231.3,1269.6
353,0.7395,86.33,0.00,0.00,0.000300,203.4,1273.0
354,0.7501,87.50,0.00,0.00,0.000300,202.6,1276.3
355,0.7419,88.67,0.00,0.00,0.000300,224.1,1280.1
356,0.7539,85.16,0.00,0.00,0.000300,208.7,1283.6
357,0.7481,85.55,0.00,0.00,0.000300,236.0,1287.5
358,0.7599,84.77,0.00,0.00,0.000300,247.8,1291.6
359,0.7522,84.38,0.00,0.00,0.000300,242.7,1295.7
360,0.7491,86.72,0.00,0.00,0.000300,210.0,1299.2
361,0.7366,85.16,0.00,0.00,0.000300,201.5,1302.5
362,0.7506,85.16,0.00,0.00,0.000300,202.7,1305.9
363,0.7466,88.67,0.00,0.00,0.000300,200.3,1309.2
364,0.7547,85.94,0.00,0.00,0.000300,208.9,1312.7
365,0.7470,89.06,0.00,0.00,0.000300,211.4,1316.3
366,0.7506,87.89,0.00,0.00,0.000300,211.1,1319.8
367,0.7450,85.16,0.00,0.00,0.000300,212.8,1323.3
368,0.7337,85.55,0.00,0.00,0.000300,207.1,1326.8
369,0.7585,84.38,0.00,0.00,0.000300,203.2,1330.2
370,0.7463,86.72,0.00,0.00,0.000300,205.4,1333.6
371,0.7436,87.11,0.00,0.00,0.000300,207.3,1337.0
372,0.7438,83.98,0.00,0.00,0.000300,204.3,1340.5
373,0.7325,89.06,0.00,0.00,0.000300,209.9,1344.0
374,0.7588,84.77,0.00,0.00,0.000300,207.7,1347.4
375,0.7370,89.06,0.00,0.00,0.000300,208.7,1350.9
376,0.7301,83.98,0.00,0.00,0.000300,212.8,1354.4
377,0.7406,85.16,0.00,0.00,0.000300,227.5,1358.2
378,0.7434,87.89,0.00,0.00,0.000300,212.0,1361.8
379,0.7497,88.28,0.00,0.00,0.000300,213.3,1365.3
380,0.7450,85.16,0.00,0.00,0.000300,214.5,1368.9
381,0.7343,86.72,0.00,0.00,0.000300,213.9,1372.5
382,0.7301,86.33,0.00,0.00,0.000300,220.8,1376.1
383,0.7364,87.89,0.00,0.00,0.000300,210.6,1379.7
384,0.7266,87.89,0.00,0.00,0.000300,218.3,1383.3
385,0.7384,88.67,0.00,0.00,0.000300,217.3,1386.9
386,0.7505,85.55,0.00,0.00,0.000300,218.8,1390.6
387,0.7408,86.72,0.00,0.00,0.000300,216.6,1394.2
388,0.7516,90.62,0.00,0.00,0.000300,201.4,1397.5
389,0.7399,87.11,0.00,0.00,0.000300,209.1,1401.0
390,0.7369,88.28,0.00,0.00,0.000300,213.7,1404.6
391,0.7315,86.33,0.00,0.00,0.000300,206.4,1408.0
392,0.7371,87.11,0.00,0.00,0.000300,211.3,1411.5
393,0.7459,85.55,0.00,0.00,0.000300,213.9,1415.1
394,0.7350,86.33,0.00,0.00,0.000300,209.6,1418.6
395,0.7407,85.16,0.00,0.00,0.000300,214.8,1422.2
396,0.7355,87.11,0.00,0.00,0.000300,211.2,1425.7
397,0.7466,85.94,0.00,0.00,0.000300,219.1,1429.4
398,0.7436,89.45,0.00,0.00,0.000300,204.5,1432.8
399,0.7309,85.55,0.00,0.00,0.000300,204.5,1436.2
